Altium Designer Pick and Place Locations
D:\My_files\Git\Competition-exercises\RC Telecar\RC PCB&Test project\stm32f103rct6\Project Outputs for PCB_STM32RCT61\Pick Place for STM32RCT6_PCB.txt

========================================================================================================================
File Design Information:

Date:       23/05/20
Time:       10:09
Revision:   c6b9fc61194f083e64cce0042c483bc6f09bf810
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description               
U6_1       STM32F103RCT6TR         TopLayer    LQFP-64_10X10X05P                 1580.000      799.764       180      ""                        
U8         0.96-OLED-30Pin         BottomLayer new_OLED30P                       1569.177      1803.360      0        ""                        
R18        4.7k/1%                 TopLayer    0603_R_JX                         1552.440      1215.309      90       ""                        
R17        4.7k/1%                 TopLayer    0603_R_JX                         1440.686      1215.309      90       ""                        
R16        4.7k/1%                 TopLayer    0603_R_JX                         1328.934      1215.309      90       ""                        
R15        4.7k/1%                 TopLayer    0603_R_JX                         1217.180      1215.309      90       ""                        
R14        910k/1%                 TopLayer    0603_R_JX                         1024.209      1941.386      360      ""                        
R13        4.7k/1%                 TopLayer    0603_R_JX                         1024.209      1803.700      360      ""                        
D2         1N4148W                 TopLayer    SOD-523_JX                        2275.696      1740.126      90       ""                        
C34        2.2uF/50V               TopLayer    0603_C_JX                         2177.150      1538.771      90       ""                        
C27        4.7uF/16V               TopLayer    0603_C_JX                         2167.920      1749.583      90       ""                        
C26        1uF/50V                 TopLayer    0603_C_JX                         2265.806      1991.411      90       ""                        
C25        1uF/50V                 TopLayer    0603_C_JX                         2167.920      1991.411      90       ""                        
C23        4.7uF/16V               TopLayer    0603_C_JX                         2280.596      1538.771      90       ""                        
C22        1uF/50V                 TopLayer    0603_C_JX                         1104.818      1214.729      270      ""                        
C21        1uF/50V                 TopLayer    0603_C_JX                         993.284       1214.799      90       ""                        
X2         32.768KHz               TopLayer    32.768KHZ                         2641.196      764.925       270      ""                        
U7         W25Q16JVSSIQ            TopLayer    W25Q16                            1013.540      935.922       90       ""                        
R9         4.7k                    TopLayer    0603_R_JX                         653.129       852.364       0        ""                        
C16        104                     TopLayer    0603                              649.650       1009.028      180      ""                        
C15        10pF                    TopLayer    0603                              2501.196      881.064       90       ""                        
C14        10pF                    TopLayer    0603                              2501.196      636.092       270      ""                        
P10        "Header 9X2"            TopLayer    HDR2X9                            2681.806      1223.000      180      "Header, 9-Pin, Dual row" 
C9         100nF                   TopLayer    0603                              2902.900      1452.362      0        ""                        
C7         100nF                   TopLayer    0603                              3072.756      1618.060      0        ""                        
P9         F_2.54_1*6P_JX          TopLayer    M_2.54_1*6P_JX                    79.606        1702.518      270      ""                        
P8         F_2.54_1*6P_JX          TopLayer    M_2.54_1*6P_JX                    79.606        1002.364      90       ""                        
H4         Hole                    TopLayer    PCBCOMPONENT_1_-_DUPLICATE        2997.837      2217.086      0        ""                        
WKUP       1TS009B-2500-4300       TopLayer    SW-SMD_L6.0-W6.0-P6.00-LS6.6      2642.992      167.916       0        ""                        
RESET      1TS009B-2500-4300       TopLayer    SW-SMD_L6.0-W6.0-P6.00-LS6.6      2246.010      167.916       0        ""                        
KEY2       1TS009B-2500-4300       TopLayer    SW-SMD_L6.0-W6.0-P6.00-LS6.6      1849.032      167.916       0        ""                        
KEY1       1TS009B-2500-4300       TopLayer    SW-SMD_L6.0-W6.0-P6.00-LS6.6      1465.196      167.916       360      ""                        
H3         Hole                    TopLayer    PCBCOMPONENT_1_-_DUPLICATE        2997.837      161.744       0        ""                        
H2         Hole                    TopLayer    PCBCOMPONENT_1_-_DUPLICATE        163.191       2222.362      0        ""                        
H1         Hole                    TopLayer    PCBCOMPONENT_1_-_DUPLICATE        167.371       175.794       0        ""                        
X1         8MHz                    TopLayer    SMD-5032_2P                       2246.846      687.744       270      ""                        
USB1       "MICRO 4P DIP"          TopLayer    MINI-USB-SMD_MICRO-4P-DIP         515.196       145.994       360      ""                        
U2         AMS1117-3.3             TopLayer    SOT-223                           925.196       171.296       180      ""                        
R12        10K                     TopLayer    0603                              2245.480      908.614       360      ""                        
R11        10K                     TopLayer    0603                              2676.590      1786.546      0        ""                        
R10        10K                     TopLayer    0603                              2676.590      1951.926      0        ""                        
R8         10K/1%                  TopLayer    0603_R_JX                         1015.541      392.904       180      ""                        
R7         20K/1%                  TopLayer    0603_R_JX                         835.231       392.904       360      ""                        
R6         10K                     TopLayer    0603                              2741.418      449.652       90       ""                        
R5         10K                     TopLayer    0603                              2879.212      449.652       90       ""                        
R4         10K/1%                  TopLayer    0603_R_JX                         1160.218      106.779       90       ""                        
R3         10K/1%                  TopLayer    0603_R_JX                         1129.873      695.384       0        ""                        
R2         10K/1%                  TopLayer    0603_R_JX                         944.011       695.384       180      ""                        
R1         10K/1%                  TopLayer    0603_R_JX                         770.539       695.384       0        ""                        
Q1         S8050                   TopLayer    SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR 3046.548      449.136       180      ""                        
P7         2.4G_WIRELESS_MODULE_JX TopLayer    WIRELM-SMD_DL-24N-2.4G            698.386       1252.364      0        ""                        
P5         M_2.54_1*4P_JX          TopLayer    M_2.54_1*4P_JX                    357.604       902.362       90       ""                        
P4         F_2.54_1*6P_JX          TopLayer    M_2.54_1*6P_JX                    348.784       1702.518      270      ""                        
P3         0.96OLED_7P_Module_JX   TopLayer    0.96OLED_7P_MODULE_JX             1579.950      2256.306      360      ""                        
P1         XH_2501R_2P_JX          TopLayer    XH_2501R_2P_JX                    305.196       512.362       90       ""                        
LED3       Blue/LED                TopLayer    0603_D_JX                         1116.683      544.610       180      ""                        
LED2       Green/LED               TopLayer    0603_D_JX                         943.511       544.610       180      ""                        
LED1       Red/LED                 TopLayer    0603_D_JX                         770.339       544.610       180      ""                        
D1         IN4148                  TopLayer    SOD-523_JX                        2685.196      944.804       90       ""                        
C8         100nF                   TopLayer    0603                              2676.590      1452.362      0        ""                        
C4         100nF                   TopLayer    0603                              622.100       668.808       270      ""                        
C3         100nF                   TopLayer    0603                              622.584       419.470       270      ""                        
C13        22pF                    TopLayer    0603                              2079.916      881.064       90       ""                        
C12        22pF                    TopLayer    0603                              2083.000      636.000       90       ""                        
